AN03	东莞市奥能工程塑胶有限公司
CML02	惠州超美力润滑油有限公司
DW05	东莞东武工业研磨有限公司
DX06	大贤（惠州）电子材料有限公司
DY06	深圳市大宇研磨科技有限公司
FAD01	深圳市福安达电工材料有限公司
GE04	戈尔（深圳）有限公司
GLP01	青岛盖洛普商务有限公司
HC17	深圳恒创研磨材料制品厂
HK01	东莞市恒科化工有限公司
HS13	广州海森化工有限公司
HWZX024	Toray International, Inc.
HX25	广州市禾信合成材料有限公司
JHS02	深圳市金恒晟科技有限公司东莞分公司
KD01	科电贸易(上海)有限公司深圳分公司
LF02	东莞市林飞模具钢材有限公司
RB03	深圳市瑞邦新材料有限公司
RT06	东莞市睿泰涂布科技有限公司
SD03	纱帝技术网布（天津）有限公司
SH25	苏州世华新材料科技股份有限公司
SHJ01	东莞市晟浩佳包装材料有限公司
SW02	四维实业（深圳）有限公司
TJZX01	天津筑信科技有限公司
TWF01	泰沃富（北京）科技有限公司
WX10	东莞市韦斯电子科技有限公司
XH02	深圳翔合邦泰润滑材料有限公司
XY10	上海熙原实业有限公司
YKL01	深圳市毅克利刀具有限公司
ZJ08	东莞市中嘉集成新材料科技有限公司
01.02.08	东莞盛翔精密金属有限公司
01.02.09	东莞领杰金属精密制造科技有限公司
01.02.15	LY INVESTMENT(VIETNAM) LIMITED
AM03	安美科技股份有限公司
DHY01	东莞东浩源电镀有限公司
DS05	德莎胶带（上海）有限公司
HG16	江苏皇冠新材料科技有限公司
HYX02	深圳市华阳禧科技有限公司
HZJS01	昊泽吉顺新材料（深圳）有限公司
JL11	惠州市锦龙精密真空热处理有限公司
JTX01	深圳市甲天下中空板制品有限公司
MKLE01	深圳市麦克莱恩科技有限公司
OBD01	东莞市欧比迪精密五金有限公司
OL01	东莞市欧菱金属材料有限公司
PH02	苏州普惠环保服务有限公司
PLM02	深圳普力美科技有限公司
PX05	POSCO INTERNATIONAL CORPORATION
SGB01	圣戈班高功能塑料(上海)有限公司
SRD03	江苏斯瑞达材料技术股份有限公司
SY18	昇英新材料科技（常州）有限责任公司
THYH01	天津天行远恒精密材料包装科技有限公司
TM03	苏州天脉导热科技有限公司
WH05	东莞市为华真空镀膜有限公司
YG06	东莞裕冠纸品有限公司
YLYD	苏州一道医疗科技有限公司
ZR04	深圳市众瑞机电设备有限公司东莞分公司
ZZ04	深圳市至臻精密股份有限公司
3M02	3M中国有限公司
BC02	深圳市博弛电子有限公司
EC01	深圳市恩慈电子有限公司
FET01	保定菲尔特过滤器材有限公司
FFY01	深圳市富丰源研磨科技有限公司
FNE01	惠州市飞耐尔润滑剂有限公司
GS04	江苏贯森新材料科技有限公司
HQ02	广东弘擎电子材料科技有限公司
JJ04	东莞市建杰精密五金厂
JS02	宁波今山电子材料有限公司
JSZX011	昆山博益鑫成高分子材料有限公司
JT15	江苏吉腾新材料科技有限公司
MKL01	苏州梅克兰循环科技有限公司
QCLF01	苏州奇创凌峰电子有限公司
SBK01	昆山思贝克精密复合材料有限公司
SRBD03	深圳市斯瑞博德实业有限公司
SZDFLC	深圳市东方亮彩精密技术有限公司
SZYS01	苏州宜升隆国际贸易有限公司
TN01	山东天诺电磁屏蔽材料有限公司
TX05	苏州泰星光电有限公司(RMB)
XT06	东莞市信泰涂装技术有限公司
ZC12	深圳市中晟金属科技有限公司
ZJ10	中聚（东莞）包装科技有限公司
ZXXL02	苏州祥林电子材料有限公司
01.02.13	东莞领汇精密制造科技有限公司
BT02	深圳市本土科技有限公司
DYT01	东洋通电工材料（深圳）有限公司
HG11	东莞华港国际贸易有限公司
HQ03	华清研磨技术（东莞）有限公司
HTC01	Hyosung TNC Corporation
JD15	东莞市骏鼎塑胶制品有限公司
JHM02	东莞市久宏铭镜业有限公司
JHXY01	昆山晶华兴业电子材料有限公司
JS08	江苏劲松塑料科技有限公司
LY03	苏州领裕电子科技有限公司
QP01	深圳市启沛实业有限公司
RX01	广州市如旭纸制品包装材料有限公司
SB01	苏州昇佰高分子材料有限公司
SD11	上海实达精密不锈钢有限公司
SHL02	深圳市山禾乐科技开发有限公司
WD05	东莞万德电子制品有限公司
XC02	苏州市星辰科技有限公司
XGD01	辛格顿（苏州）电子科技有限公司
XLD02	东莞市先力得热处理有限公司
XX06	杭州象限科技有限公司
YD12	东莞市雁达实业有限公司
YPF01	深圳市粤鹏孚化工有限公司
ZR05	东莞市中润化工有限公司
DGZX215	深圳市炜业兴劳保包装材料有限公司
DGZX286	阿奇夏米尔机电贸易（深圳）有限公司
DM05	东莞市谛姆电子科技有限公司
HBL01	深圳市鸿宝利包装制品有限公司
HD07	东莞市航达电子有限公司
HH13	东莞市合航精密科技有限公司
HS16	深圳汇盛兴业科技有限公司
HXD03	深圳市鸿兴达塑胶制品有限公司
HZ10	深圳市汇智工贸科技有限公司
JH13	东莞市珈弘五金制品有限公司
JJ11	江苏聚杰微纤科技集团股份有限公司（RMB)
JS16	无锡市钜盛金属制品有限公司
JSD02	佛山市佳世达薄膜科技有限公司
MS03	东莞市茂顺纺织品有限公司
NL03	江西耐乐铜业有限公司
QT001	委外公用供应商
RT07	日铁物产株式会社
ST07	深圳市桑泰防伪材料有限公司
XCX01	深圳市星诚鑫模具制品有限公司
XW02	东莞市兴旺纸品有限公司
ZQ04	苏州致泉电子材料有限公司
BR01	珀荣国际贸易（上海）有限公司
CN01	成南（天津）电子有限公司
DH02	昆山帝晖电子科技有限公司
EK01	东莞市恩科电子科技有限公司
FCXJ06	深圳市富创橡塑五金制品有限公司
JC13	衡山县佳诚新材料有限公司
KJ02	深圳科俊电子材料有限公司
KR01	佛山凯仁精密材料有限公司
LSC02	领胜城科技(江苏)有限公司
LT09	中山莱通金属科技有限公司
MC01	广州市明萃电子有限公司
MGD01	东莞市美光达光学科技有限公司
RW02	东莞市瑞为电器配件有限公司
SX06	深圳市盛鑫达五金制品有限公司
TG02	东莞市泰工五金制品有限公司
TJHJ01	天津华郡有色金属加工有限公司
TTX01	广州市陶特新科技有限公司
XNC01	深圳市鑫诺诚科技有限公司
YK01	上海怡康化工材料有限公司
ZC08	珠海中晟光电科技有限公司
ZL04	东莞市兆来电子科技有限公司
ZX10	太仓展新胶粘材料有限公司
ZXYM02	惠州市溢民塑胶有限公司
ZY07	东莞市宗元电子有限公司
AJ04	深圳市傲锦科技有限公司
AM05	艾莫（上海）贸易有限公司
DS12	苏州威斯东山电子技术有限公司
DYJD01	苏州德佑胶带技术有限公司
HJJM01	东莞市海佳精密五金制品有限公司
HM12	东莞市会盟新材料科技有限公司
HY23	深圳市互应新材料有限公司
JT11	苏州工业园区久泰精密电子有限公司
JT13	金天环保材料科技（深圳）有限公司
KLX02	东莞市卓晧五金有限公司
LD07	上海励德国际贸易有限公司
LY05	成都领益科技有限公司
PS02	苏州宝丽摩赛思高性能材料有限公司
TL04	苏州泰仑电子材料有限公司
TRK01	深圳市泰瑞克科技有限公司
TZCZ01	北京同舟创展科技发展有限公司
XBS01	东莞市鑫博仕新材料有限公司
YX15	东莞市盈兴印刷有限公司
ZZ05	广州市兆智贸易有限公司
BL05	东莞市贝力功能材料有限公司
CS10	东莞市灿盛塑料电子制品有限公司
HDWR01	深圳市汉德维尔科技有限公司
HSF02	深圳市恒昇发纸品包装有限公司
HTJ02	深圳市和泰嘉科技有限公司
JZ08	东莞市浚哲化工有限公司
LS12	郑州领胜科技有限公司
MDX06	北京明德兴盛电子技术有限公司
PTL01	苏州普提勒新材料科技有限公司
RJ06	冉聚（上海）高新材料有限公司
RL04	日立金属投资（中国）有限公司
TCXJ01	太仓新锦表面处理有限公司
XHF01	深圳市鑫华富科技有限公司
XM01	深圳市西玛塑胶材料有限公司
YFY01	深圳市亚飞亚电子科技有限公司
ZYJ01	深圳市众源捷科技有限公司
APL01	杭州安普鲁薄膜科技有限公司
BD07	惠州市博大新材电子科技有限公司
CL02	创隆实业（深圳）有限公司
CY08	崇越(广州)贸易有限公司
CY13	Golden Tsann Yuh Enterprise Co., Ltd.
DD01	苏州东达电子材料有限公司
DQ05	顶群科技（深圳）有限公司
FLD01	弗兰德科技（深圳）有限公司
FXI01	FXI,INC.
HFC01	深圳市鸿富诚屏蔽材料有限公司
HLD04	江苏和力达电子科技有限公司
KN01	东莞珂霓钢制品有限公司
LHX02	江西蓝海芯科技集团有限公司
LT03	广州市黄埔乐天实业有限公司
LT07	深圳市领拓实业有限公司
MCP01	MITSUI & CO.PLASTICS LTD.
MSD02	东莞市美时达包装制品有限公司
PSA01	Protechnic S.A
WD06	东莞市威鼎包装制品有限公司
XG02	东莞市粤莞实业有限公司谢岗分公司
YRM01	深圳市英诺美达科技有限公司
YX12	深圳市崯鑫新材料科技有限公司
YZ01	东莞市裕正胶带有限公司
CML01	深圳市超美力润滑科技有限公司
CY09	东莞市彩源有机硅材料有限公司
DF15	东莞得丰光电材料有限公司
DK02	东莞戴卡电子科技有限公司
DMT01	昆山德迈特新材料科技有限公司
FH03	广东富行洗涤剂科技有限公司
KD09	东莞科达五金制品有限公司
LSC03	苏州龙盛昌新能源材料科技有限公司
LSL01	东莞市绿森林包装材料有限公司
MH01	昆山梦航电子有限公司
RD11	日东（中国）新材料有限公司（RMB）
SF01	赛发过滤科技（苏州）有限公司
SH06	深圳市深濠精密科技有限公司
SHB02	东莞市尚弘博实业有限公司
SJ05	东莞市四季包装纸品有限公司
SSG01	东莞市森三冈金属材料有限公司
TL16	东莞市东坑天乐硅橡胶制品厂
XJ15	深圳市华科五金制品有限公司
YC12	东莞市原彩电子材料有限公司
YD07	成都意德电子科技有限公司
YQHY01	深圳市营群合益电子科技有限公司
ZD05	东莞市正德塑料制造有限公司
ZHCJ01	深圳市正和楚基科技有限公司
ZYH01	深圳市臻亿恒五金科技有限公司
AL05	艾利丹尼森（广州）材料有限公司
AY02	苏州傲宇橡塑科技有限公司(RMB)
DT08	广东鼎泰高科精工科技有限公司
DX07	昆山鼎翔材料科技有限公司
GH03	上海高恒材料科技有限公司
HA02	稻兴科技（深圳）有限公司
HR04	深圳宏瑞新材料股份有限公司
HT16	深圳市前海昊通国际贸易有限公司
HY10	东莞市华彧塑胶制品有限公司
HZ03	深圳市海洲数控机械刀具有限公司
HZ11	东莞市恒正电子有限公司
JS20	深圳市君燊科技有限公司
JX10	常州捷希新材料科技有限公司
JY14	东莞市佳烨印刷器材有限公司
MX01	深圳市美信电子有限公司
NS05	耐思医疗包装技术（深圳）有限公司
XND01	昆山新粘度电子材料有限公司
YQ05	东莞市云庆电子材料有限公司
YSD02	深圳市益思迪科技有限公司
ZS15	东莞市中硕新材料有限公司
BM01	宾姆紧固件（上海）有限公司
BY02	东莞市长安比亚润滑油贸易部
CY06	东莞市灿煜金属制品有限公司
DQ06	东莞市道千全贸易有限公司
FCD06	深圳市富诚达科技有限公司
GD03	东莞市国典五金科技有限公司
HCD01	和诚达科技（深圳）有限公司
HP01	昆山汉品电子有限公司
HX19	深圳市衡信通实业有限公司
HY03	昆山皓运电子有限公司
JLB01	中山金利宝胶粘制品有限公司
JR09	深圳市军睿光学材料有限公司
LF04	深圳市联丰五金塑胶制品有限公司
LT10	东莞市利韬过滤材料有限公司
MNSD03	明尼苏达矿业制造特殊材料(上海)有限公司
NDFOS01	NDFOS CO., LTD.
RDGX01	上海日东光学有限公司
SCL01	SEIREN CO., LTD.
SK03	森科五金（深圳）有限公司
STWK02	山特维克可乐满切削刀具（上海）有限公司
SY19	东莞市盛元新材料科技有限公司
TBS02	东莞市拓邦硕实业有限公司
YL03	深圳市永霖科技有限公司
YT05	深圳市源泰金属材料有限公司
YZ07	无锡永炽不锈钢有限公司
ZHCJ02	东莞市正和楚基智能制造有限公司
ZJ13	广东知见新材料科技有限公司
ZXYK05	东莞市盈坤电子科技有限公司
01.02.11	东莞市鑫焱精密刀具有限公司
ASNK01	艾索纳科电子昆山有限公司
CDX02	深圳市诚达兴电子材料有限公司
CJ01	昆山晨景电子材料有限公司
CM03	深圳昌茂粘胶新材料有限公司
CXR01	深圳市长兴荣五金制品有限公司
CY16	江门磁源新材料有限公司
DAS01	广州迪爱生贸易有限公司
DSNW01	广东谛思纳为新材料科技有限公司
DZJ01	北京狄之娇贸易有限公司
FRD02	深圳市飞荣达科技股份有限公司
FZ04	深圳市大川丰卓电子科技有限公司
GZ04	东莞市顾卓精密组件有限公司
HX14	东莞市石排焕新五金厂
HZX03	宁波惠之星新材料科技有限公司
JH17	东莞市骏鸿光学材料有限公司
JL12	巨路国际贸易（上海）有限公司
JT08	苏州锦腾电子科技有限公司
JXS02	苏州鑫捷顺五金机电有限公司
JY33	深圳兴嘉裕纺织品有限公司
NF01	纳峰真空镀膜（上海）有限公司
QJZY01	北京仟珈泽沅技术有限公司
RG01	深圳日高胶带新材料有限公司
RS03	罗杰斯科技（苏州）有限公司
SK10	东莞森康电子科技有限公司
TJ03	东莞市同进数控设备有限公司
TS06	太松实业（深圳）有限公司
WDL01	维达力实业（深圳）有限公司
WT02	天津威特电子有限公司
XRH01	深圳市鑫荣辉科技有限公司
XSX01	深圳市新上星科技有限公司
XT05	东莞市兴腾电子科技有限公司
XYZ01	中山新亚洲胶粘制品有限公司
YB07	浙江原邦材料科技有限公司
YDX02	广东杨达鑫科技有限公司
ZH05	深圳市卓汉材料技术有限公司
AKB01	深圳市奥科宝特种油剂有限公司
BYH01	深圳市铂易鸿电子有限公司
CW03	常州创伟工具制造有限公司
FR03	四川福蓉科技股份公司
GB03	G.Bopp + Co. AG
GC05	东莞广创精密科技有限公司
HM13	深圳市鸿美新材料有限公司
JT09	宁波金田铜业（集团）股份有限公司
LDK02	琳得科胶膜科技(上海)有限公司（USD)
LYD01	深圳市丽英达防潮保鲜技术有限公司
MED01	吴江蒙恩达精密五金有限公司
MX06	深圳市明鑫工业材料有限公司
QT02	广州齐天冷链科技有限公司
RK01	深圳日矿商贸有限公司
RSD01	深圳市润斯德科技有限公司
SG04	台湾穗高科技股份有限公司
SHYF01	北京圣华艺丰技术有限公司
TQ01	佛山市天奇铜业有限公司
TR04	东莞市唐荣精密金属材料有限公司
TY01	东莞市天宇包装材料有限公司
XW04	江门市兴维经贸有限公司
YH14	惠州亚华胶粘带有限公司
ZB02	深圳市卓邦包装制品厂
CX08	山东创新精密科技有限公司
DAS03	上海迪爱生胶粘材料有限公司(RMB)
DF11	中山顶锋精密刃具科技有限公司
DW04	深圳市大唯印刷器材有限公司
FZX01	深圳市丰泽昕科技有限公司
GE05	歌尔股份有限公司
JBE01	深圳市金博恩科技有限公司
JLX01	江门杰利信抛磨材料有限公司
JP02	广州金朋五金制品有限公司
LD10	苏州林大新型材料科技有限公司（RMB）
LY09	东莞领益精密制造科技有限公司
PR01	苏州磐瑞新材料有限公司
PW02	东莞市鹏威能源科技有限公司
XC12	东莞市新川钣金有限公司
YHD01	苏州佑厚得机械五金有限公司
YR03	东莞市寮步粤荣五金电器经营部
YX08	深圳市益兴磨料有限公司
ZHZX02	深圳市正和忠信股份有限公司
ZR02	深圳市众瑞机电设备有限公司
ZXJY02	昆山今仪检测设备有限公司
ATP01	惠州市安泰普表面处理科技有限公司
BLX01	深圳市百利鑫工业材料有限公司
BY09	东莞市彬源塑胶贸易有限公司
CLH01	深圳市创立宏科技有限公司
CY10	东莞市晨耀印刷材料有限公司
FAX01	东莞富安鑫高新材料有限公司
FT02	深圳市飞陀科技有限公司
GR02	东莞市国瑞切削工具有限公司
HM05	深圳市和美科技有限公司
JQ02	台山市金桥铝型材厂有限公司
JTT01	湖南湘投金天鈦金属股份有限公司
MT01	名腾国际贸易（深圳）有限公司
RF04	深圳市瑞丰卷芯科技有限公司
SLK02	舒里康新材料科技（东莞）有限公司
SY02	浙江三元电子科技有限公司
TC10	江西省台辰新材料有限公司
WYC01	深圳市旺盈彩盒纸品有限公司
XJQ01	深圳市鑫金泉钻石刀具有限公司
YY02	深圳市芸阳科技有限公司
ZSWY02	北京中石伟业科技无锡有限公司
